allusion	variation_list
鹊南飞（曹操）	对酒当歌;鹊绕;人生几何;栖不稳;绕树难;鹊无枝
苍生望（谢安）	苍生;东山卧;谢公起
南冠（钟仪）	南音;南冠楚囚;楚怀;楚臣冠;钟仪;悲歌学楚囚;楚君子;楚琴悲;忘楚操;我囚向楚
鲍参军（鲍照）	鲍明远;鲍参军;鲍昭;鲍家诗;鲍公篇;鲍照
管鲍（管仲，鲍叔牙）	管鲍;鲍叔知;知我贫;深知在叔牙;忘鲍
散樗（惠施，庄子）	散樗;寿栎;庄樗;散栎;樗栎身;山樗;散材;散木;曲辕社;拥肿;不才樗;散才;樗材;得全社栎;曲猿树;臃肿
怀橘（潘岳，陆绩）	陆绩怀橘;比橘;陆生言;陆与潘;袖中香味;红堕双桔;陆郎承颜
报恩珠（曹植）	报恩蛇珠;觅明珠;汉东珠;明珠吐著;长蛇;随掌夜光
少微星	少微星;处士星;星绘处士尊
扬雄宅（扬雄）	扬子宅;子云居
第三声	三声;猿三叫;三峡无猿;猿鸣泪沾裳
豹隐（陶答子，陶荅子妻）	豹隐;豹成文;雾雨;养豹烟雨;养豹章
夔（伊尹，夔，龙）	夔
云台（邓禹）	台图;云台;云阁
酂侯（刘邦，萧何）	萧相;萧何;酂侯;汉庭萧
未封侯（李广）	不封侯;数奇;封李广;李广未封;猿臂无功;未
弹冠（王吉，贡禹）	贡公弹冠;堕贡生贫;拂尘冠;弹巾;敝冠谭;尘冠不谭;贡
子云（扬雄）	扬雄;子云
雁行	雁;断行
寒灰（韩安国）	然灰;复燃灰;田甲当时气;待溺余;灰土已寒
罗敷	东方千骑;姓秦;秦罗敷;秦氏女;使君有妇
星郎	应星辰;星;列宿
柱史（张苍）	柱下史
章台（张敞）	便面章台;风流京兆;章街;张敞画眉;京兆画眉;京兆马;翠眉谁画;张郎走马;眉妩;修蛾章台样;玉马戏走章台下
子虚	子虚
庞公	庞居士;庞公;鹿门;采药名山;采药不返;城郭休过;庞家活计;老庞携家
尚平（向长）	子平婚嫁;尚子;女嫁儿婚;毕娶;富不如贫;婚娶未毕;未终婚嫁;向平事了;向平约;一婚倘毕;昏嫁向平;门容向子过;尚平;十年婚嫁愿;向平多累;向子
易水寒（聂政，荆轲，燕丹）	易水;发冲冠;壮士悲歌;悲歌击筑;击筑长歌;壮士冲冠发;送客白衣冠;燕歌易酒;衣冠此日霜;壮气惊寒水;荆轲悲歌
定远（班超）	定远;万里侯;封侯万里;封班;万
濠梁（惠施，庄子）	濠上鱼;临濠;安见我非鱼;观乐;游鯈;子非我，安知我
一叶	一叶秋;一夜惊秋
麻姑	麻姑
漉酒（陶潜）	漉酒;漉巾陶令
西方社（慧远，宗炳）	社中人;社客;西方社;宗炳社;匡山古社;莲社;林中杜;同社
画眉（张敞）	京兆画;画眉;京兆双眉;张敞梳洗;张尹眉
蓬山	蓬
宣室	宣室
棣萼	棣萼;棣华;棠棣
借寇（寇恂）	借寇恂;借河内;借留;遮道
解网（汤）	网开三面;汤网;开罗;一面施罗;去三面罗;汤祝飞尽;一面开网;罗一面
无全牛（庖丁）	庖丁解牛;宰牛;肯綮;不见全牛;刃游馀地;不目全;牛刀投隙;释牛刀;见
还珠（孟尝）	合浦还珠;珠还浦;蚌蛤回;珠愁主去;合浦名邦风流太守
雀罗（翟公）	翟公;雀罗;一贵一贱;生死论交;廷尉门;贵贱交情;交态薄;不署门;廷尉张罗;翟公门外雀罗稀;翟市悲;罗网门前有;穷巷张罗
金掌（汉武帝）	仙掌;金盘露;仙盘;仙茎;饮花露;汉宫盘;琼屑晨杯;盘概碧霄
登坛（刘邦，萧何，韩信）	追亡;无双国士;登坛;拜韩信;萧何追韩信;筑坛;宁郁郁久居此;韩侯将坛
池塘生春草（谢惠连，谢灵运）	池塘草;梦惠连;谢家春草;诗有神助;草池春晓;春草吟笔;高树变鸣禽;梦谢塘;谢郎梦;梦通谢惠;神功;庭草;谢堂神语;梦
中圣（徐邈）	中贤圣;杯中神怪物;徐邈酒仓空
葛洪（葛洪，葛玄）	葛仙翁;葛长官;葛洪;稚川
当垆（卓文君，司马相如）	涤器当垆;临邛酒客;文君酒;卓氏垆;典千金裘;典征裘;酒垆;成都贳酒;混佣保;卖车骑;抛犊裤;贫卖相如骑;当垆卓文君;酒浓何暇卓文君;文君当炉;相如犊鼻裤
白社	白社
连城（秦昭王，蔺相如）	连城;怒发冲冠;冲冠发;相如璧;全赵璧;完璧归赵;头碎柱;抱璧还;头与璧俱还;邯郸玉;璧终全;秦璧归;碎壁;先生令赵重;指图睨柱;睨柱吞赢;秦城未易
瑶台	十二瑶台;昆台;瑶阙
卧袁安（袁安）	袁安高卧;袁户;袁门闭;扃门卧;袁安爱晴早;袁扉掩;袁生;积雪卧园;门
烂柯（王质）	烂柯;柯斧;观棋;采樵;苍枰烂斧;光阴未抵一先棋;看棋;柯山;逢仙柯朽;看棋逢神仙;柯催;柯云罢奕;石室棋半局
知音	知音
吊屈（贾谊，屈原）	吊屈;吊灵均;吊三闾;吊长沙;吊湘魂;投湘赋;吊楚臣;奠楚魂;诗吊汨罗魂;湘
泛梗（苏秦）	梗;漂流木偶;土偶;士偶桃梗
龙竹（费长房）	投杖;葛陂龙;竹笼;壶公龙;裁寒竹;竹杖成龙;剪成龙;别杖;葛水;竹化;变化
著鞭（祖逖）	祖鞭;争雄鞭
披云（乐广，卫瓘）	乐广披云;睹青天;雾一披;乐令天
依刘（王粲，刘表）	依刘表;王粲依人;荆州座上;事刘
洪炉	洪炉;天地炉
精卫	精卫填海;含石;帝女灵;碧海乾;沈冤鸟口;帝子衔冤;填渤澥;衔土怨;女娃东海;心平海
祢衡	祢生;祢处士;祢贤;祢笔;祢衡
玉山颓（嵇康）	玉山;扶起瑶山;拍手笑颓山;倒玉
黄绶	黄绶
客星（严光）	客星;足加帝腹;犯帝坐;犯星夜;汉光腹;骄同卧;御榻星辰动;足磨汉榻;共卧加腹;星辰凌帝坐
独醒（屈原）	独醒;屈原醒;众客醉;大夫醒;灵均不醉;异醒醉
麋鹿群（伯夷）	麋鹿
梁园（刘武）	梁王苑;梁园;兔园
临池（张芝）	墨池;池上学;张芝圣;池边写字;墨沼;池水含墨
云中鸡犬（刘安）	鸡犬;刘安宅;淮王宅;举家飞升;拔宅淮王;鸡犬不留残;鸡犬上层城;舐药鼎;鸡犬不将去
五丁	五丁开;壮士死;开山力士;地崩山摧;金牛假道
骏骨（燕昭王，郭隗）	燕市骏骨;燕台骏;千金何足惜;售骨;郭隗无骏;马骨;死骨掷燕隗;燕马换金
焦尾（蔡邕）	爨桐;焦琴;爨下馀;入爨;爨琴;蔡邕琴;薪馀;桐尾;焦桐;焦尾;桐遇知音;尾半焦;暗辨桐声;炊爨得琴材;桐薪鸣灶;知音尾
击壤（尧，舜）	击壤;帝力;尧舜力;颂虞唐;天子力;歌帝尧;出而作入而息;咏陶唐
石渠	石渠;石阁
金马客（东方朔）	金马门;东方避世;吏隐;陆沈
青蝇	青蝇;苍蝇间白黑;青蝇乱白黑
移文（周颙，孔稚圭）	北山移文;抗尘容;负烟霞;山林嘲;山灵俗驾回;勒回俗驾;起钟山笑;山英扫迹;席次眉轩
安期（安期生）	安期生
石桥（秦始皇）	驱石;秦桥;鞭血;祖龙鞭;秦王;石桥东望;鞭桥;东海桥;秦皇鞭鬼鞭;秦皇架石桥;秦皇驱峰;祖龙不成桥;祖龙浮海
分阃	阃;推毂;阃毂犹推
倚天剑	长剑倚天;天外倚;倚刃
侯嬴	夷门抱关;侯生;侯嬴;监门
趋庭（孔子，孔鲤，陈亢）	孔鲤趋庭;过庭;鲤也
木奴（孙休，李衡）	千头橘;橘里;橘州;李衡奴;黄柑千树;橘封千户;橘树当家僮;千树封侯;山中奴婢;仙童带橘香;洲中奴;千橘江陵;栽黄橘;栽桔防贫;种橘圆林
白眉（马良）	白眉;马良并秀;季常
陵谷	陵谷变;高岸如谷
祢衡挝（孔融，曹操，祢衡）	渔阳掺挝;祢衡刺;狂处士;袖中漫刺;正平挝;掺鼓雷;猖狂似祢衡;击狂节;投刺;一刺空磨;怀刺示孔融;怀中字灭;掷槌
玉京	玉京
甑生尘（范冉）	甑尘;釜中鱼;莱芜甑;范丹贫;破釜跃江鱼
渥洼种	渥洼种
金诺（季布，曹丘生）	千金一诺;重一言;季布诺;曹邱生;季布一言;然诺重黄金;无二诺;然诺;得诺轻季子
风驭（列禦寇）	驭气;列御风;御泠然;驭风;仙寇
梁苑客（刘武，司马相如，邹阳，枚乘）	梁园;延枚叟;召邹生;末至客;兔苑宾;梁王会;梁王雪下;授简;兔园留;相如逞才;相如游梁;雪销酒尽
文姬（蔡琰，蔡邕，曹操）	蔡琰;蔡文姬;蔡女胡笳;中郎有女;魏公嫁文姬
金兰	金兰好;同心断金
桃叶（桃叶，王子敬，王献之）	桃叶
缩地（费长房）	缩地;长房术;地难缩;缩山川
骅骝	骅骝
石崇	石季伦;石崇家;石氏
刀头（任立政，李陵）	刀环;飞破镜;明月揽刀环
劫灰（刘彻）	劫火烧;昆明劫灰;劫沙;胡僧识;辨沈灰;劫尘
日车（羲和）	羲和车;羲和日驭;朱羲;日车;鞭日;驱日月;日御;羲和失鞭
过隙	白驹过隙
月桂	月中桂;蟾宫桂;广寒丹桂;桂轮;桂树;一轮秋桂;月殿游;桂花;桂华;桂魄;月中倒影;桂影;桂枝
大隐	大隐;小隐
蟾	蟾
六印（苏秦）	黄金印;季子多金;苏印;苏秦富贵;何用多金;金印六国;六国都丞相
倒屣（王粲，蔡邕）	倒屣迎;倒屐;蔡邕许;中郎许仲宣;倒凫舄;倒屟
书空（殷浩）	书空咄咄;画空;书怪事;殷浩吟
遏云（秦青，薛谭）	遏云;秦青;秦讴;云不去;云欲断;留住行云;穿云衢;不放行云飞过;唱歌云欲聚;歌莫放行云;歌声遏断;响遏珠尘;一曲清歌留住半窗云;一声珠唱驻行云;云绕扇;云为歌声不忍行;林木;声拂行云;声绕碧山晚云留;声振林杪;云表歌云遏;云定
傅野（傅说，武丁）	梦傅;高宗梦;岩前叟;梦卜庸相
阮籍	阮嗣宗;阮籍
长安日（司马昭）	长安;举头见长安;知日近;出门望长安;对日;日易见长安难到
刘伶（刘伶）	刘伶;伯伦
萧曹	萧曹
北海尊（孔融）	北海;酒不空;坐上客;孔融;文举;融酒;常满坐中客;满座空尊;樽空忧;孔坐多绿醽
谏猎（扬雄）	谏猎;陈羽猎
萱草	忘忧草;萱草
梁尘（虞公）	梁尘;动梁埃;梁州声歇;听歌梁上动;轻尘落雕梁;闻歌自飞
韩寿（贾充，贾午，韩寿）	熏衣;韩寿偷香;满城香;贾女香;窥韩;著人香;遗寿;外国香;贾袖传香;香传贾娘;香销韩袖;贾氏窥帘;香寄窥帘;异香寄寿
贾生泪（贾谊）	三太息;痛哭书;贾生;泣长沙;汉庭哭;伤时哭;少年太息;时事堪痛哭;太傅涕空挥;贾傅长沙哭
逐鹿（蒯通）	失鹿;鹿失嬴秦;鹿走山三
鹤氅	鹤氅
千日醉（刘玄石）	千日酒;中山;一醉三年;醉酒一千日;玄石饮;醉日论千;玄石葬荒邱
盐车（汗明，伯乐）	盐车;困骥;困坂;泪尽太行;叹息良马;孙阳怜瘦骨
曳裾（邹阳）	曳长裾
买赋（刘彻，司马相如，陈皇后）	长门买赋;蜀赋;赋换黄金;长门尽日;换笑;冷落长门;闭阿娇;汉殿长门;临邛卖赋郎;寿相如;苔没长门;文园词赋;长门不惜金;长门宫里人;长门离恨;长门夜悄;词金阙;黄金达相如;长门费万金
陶令醉（陶潜）	陶令醉;醉
河源（张骞）	河源;寻源;寻河
为霖（傅说，殷高宗）	作霖雨;为霖
天骄	天骄;骄子
偷桃（东方朔）	曼倩偷;桃;方朔偷;三度窃蟠桃;玉桃偷;碧桃闲;汉偷儿;三桃圆;西真攘桃
飞锡	飞锡
公干（刘桢）	刘公干;刘桢
鸡黍（张劭，范式）	范张鸡黍;幽明永隔;千里论交;白马;巨卿哭;升堂他日约;素车;张范善终始;炊黍期张;死结生交;死梦寻范式;元伯巨卿千里从;元伯相葬;只鸡平生约
凤诏（石虎）	凤衔诏
褰帷	褰帷
方朔（东方朔）	东方朔;曼倩;臣朔
西园（曹丕）	西园飞盖;飞盖相从
羊公（羊祜）	羊公;羊祜
斩楼兰（刘彻）	楼兰;都护楼兰返
暗投（邹阳）	暗投;按剑;珠怯再投;投珠见疑
右军（王羲之）	王右军;王内史;羲之
梁甫（诸葛亮）	梁甫吟;蜀相吟;武侯吟
隐侯（沈约，鲍照）	沈休文;沈隐侯;沈约
箫韶	韶;舜调清管
明妃（王昭君）	昭君怨;明妃
南浦（江淹）	南浦;江淹浦;别恨抛深浦
黄绢（曹操，杨修，杨脩，曹娥，曹盱）	绝妙辞;齑臼;曹娥碑;幼妇碑;黄绢;曹盱;色丝;绝妙孙辛妇;杨修见幼妇
八骏（周穆王，西王母）	绿耳;八骏;穆驭;姬满骏;追穆后;西征瑶池;巡瑶水
骑省（潘岳）	散骑省;安仁省;潘生骖阁;潘安寓直
鼓瑟（女英，娥皇，舜）	帝子鼓瑟;湘波瑟;湘女怨弦;尧女瑟;波上五十弦;帝娥掩瑟
邓林（夸父）	夸父逐日;弃杖;邓林;饮海绝流;化邓;与日竟走
鹦鹉赋	鹦鹉赋
衔环（杨宝）	黄雀衔环;汉环;报恩环;饲雀传庆
蒲轮（刘彻）	蒲车;软轮;安车蒲轮;安车召
闲居赋（潘岳）	闲居赋;潘郎作赋
黄屋	黄屋
子房（张良）	张子房;张良
大王风（宋玉，楚王）	大王风;快哉风;青蘋风;披襟风;宋玉风;苹末;被襟;台上披襟;一快披襟;风入大王;披襟兰台
木雁（庄子）	不材;能鸣雁;不鸣烹;木雁;雁默先烹;庄周解爱鸣;庄叟悲雁;庄周
下帷（董仲舒）	垂帷;董生下帷;仲舒帷;不知门外有园蔬;窥园;闭户;三年不窥园树;生
李将军（李广，卫青）	李将军;李广
弦惊（魏加）	惊弓;弦惊;怯弦;伤弓;闻弦坠;弓张自摧;惊雁;怯张弓
楚材	楚;晋用
齐竽（南郭先生）	滥吹竽;齐竽;众里笙竽;齐竽取次吹;伎同南郭
文园	文园
前席（贾谊）	宣室召;问鬼神;前席;召贾生;及苍生;宣室鬼神;膝屡前;君王思贾;贾谊久不见;长沙召贾;宣室再见时;宣室征还
拥鼻（谢安）	拥鼻;洛下书生咏;谢安吟;掩鼻出东山;拥鼻雒阳生;掩鼻咏
三顾（刘备，诸葛亮）	三顾;三接恩;隆中顾;访葛侯;蜀主思孔明
天马（刘彻）	天马;从东陵
从军乐（王粲）	王粲从军;仲宣云乐;王粲向旌旗;王郎赋从戎
贪泉（吴隐之）	贪泉;饮泉诗;泉为无隐变
伯乐	伯乐相马;孙阳
补天（女娲）	五色石;女娲补天;娲皇;石
倚玉（夏侯玄，曹睿，毛曾）	玉树连;琼树倚;蒹葭倚玉树;身倚玉
抽簪	抽簪;弃华簪
冲天（楚庄王，淳于髡，齐威王）	一鸣;冲天;一举冲霄;三年鸟;三年翼自高
方寸	方寸
东床（王羲之）	坦腹东床;露腹;东坦;旧选床;卧床东;羲之当选
伯道无儿（邓攸）	伯道无儿;无儿悲邓攸
宴镐（周武王）	宴镐
桑榆	桑榆景;桑榆日月侵
瓮间卧（毕卓）	吏部瓮下眠;毕卓眠;瓮间毕卓;瓮边捉;抱卧;毕卓盗窃;毕卓醉狂;偷醅毕卓;缚拼毕卓;缚著瓮鞭
五车（惠施，庄子）	五车;惠施书
三独（宣秉）	三独坐
直如弦	直如钩
此君（王徽之）	子猷竹;谁家多竹门可款;猷家;此君;款竹谁家;王家看竹;爱竹啸名园;款门不问谁家竹;篮舆爱竹;门深款竹;随宜有竹;子猷风调;子猷幸见过;逢竹便寻
潜夫（王符）	潜夫论
纵横	纵横
下车（武王）	下车
日边（司马昭）	日边;日下;日远
铁冠	铁冠
佩刀（吕虔，王祥，王览）	佩刀;赠宝刀;虔收宰相刀;宝刀世载;传家宝刀;佩刀世三公;王祥贻刀;玉祥得佩刀
黄霸	黄颍川;黄霸
伍员涛（伍员，文种）	素车白马;子胥涛;灵涛;白马潮;怒涛飞;前胥后种;银涛白马;鸱夷没;灵胥八月涛;八月潮怒;伍相;东流生白波;素车驾长鲸;涛江雪浪;伍胥白浪;壮志死不息;乘潮;鸱夷怒涛;寒涛拥伍胥;魂庄怒涛;怒涛犹不平;前潮作子胥;素车走灵胥;伍生传谬;伍胥恨不灭;胥江万里涛;子胥怒钱塘
萧寺（萧子云，萧衍）	萧寺
栖梧	巢梧;凤凰宿;托椅桐
张骞	博望;张骞
三岁字	袖中;三岁字;字不灭;怀袖三年;入怀;贮书怀袖
孟母邻（孟子，孟母）	孟邻;三迁教养;三徙
钓鳌	龙伯钓鳌;长竿钓巨鳌;鳌驾蓬莱;一钓十五鳌
陆机	平原;陆机
埋轮（侯文，张纲）	问狐狸;豺狼当路;埋轮;扫豺狼;狐狸不足论;狐狸避宪章;狐狸何足道;洛下狼;狐狸谁问
月窟	月窟
买山（支遁，深公，巢父，许由）	买山;道林钱;买峰;不费青蚨买;西山买白云;买山巢由笑;支遁不惜钱;支公计;云买
归去来（陶潜）	陶令归去;元亮归来;归田先作赋;归卧渊明;彭泽归;陶休;投组归来;归来同元亮;渊明解征骖
颍川政（黄霸）	颍川;征黄
扫门（魏勃）	扫门;丞相扫门人;扫门踪魏勃;埽门士;无私断扫门;相门洒扫;拥帚扫公门;丞相
嵇康懒（山涛，嵇康）	嵇懒
佳气（刘秀，苏伯阿）	南阳佳气;皇州佳气葱葱
漂母（韩信，漂母）	一饭;饭王孙;漂母;韩信饿;千金酬一饭;楚媪馈王孙;淮阴纶饵;寄食王孙;溧母矶头
金微	金微
元瑜（阮瑀）	阮元瑜;阮家;阮瑀
傲吏	傲吏
三千客（田文，魏无忌，黄歇）	客三千
山涛	山吏部;山公;巨源;山涛
薜荔衣	薜萝衣
误曲（周瑜）	周郎顾曲;赏音稀;误曲;待一顾;曲误不须顾;误顾;公瑾见误;恋红牙;小误回头
九门	九门
张仪	舌存;张仪舌在;留舌;疑璧;盗璧;纵横舌;韫璧;璧非真盗;有舌;恒视舌;舌问妻孥
黍离	黍;闵周
抱瓮（庄子）	汉阴瓮;机心抱瓮;吴机械;槔与瓮;绝机叟;忘机同汉阴;嗤桔槔;灌阴叟;桔槔贤抱瓮;圃田公;天机如汉阴;忘机;无橘槔;无械容机;汉
毛遂（毛遂，赵胜）	颖露囊锥;脱颖出;收毛;锥在囊;利锥末;囊未出;锥难自荐
灌园	灌园
尝胆（勾践）	卧薪尝胆;雪会稽;握火;句践胆;饮胆;抱冰
魂招（屈原，宋玉）	楚辞招;楚些歌;招;飞魂招楚些;骚魂招不返
牧马（黄帝，大隗）	游童;寻大隗;逢牧马;襄野;七圣心迷;前马圣;具茨
伶伦（伶伦，黄帝）	伶伦;昆仑竹;采竹昆仑;嶰谷枝;嶰谷黄钟;学凤鸣;昆
金蟾	兔蟾
龙媒	龙媒
解佩（郑交甫）	双佩;汉皋解佩;投佩;汉上衿;汉浦遗玦;琼佩遗交甫;江妃
狗盗（田文）	鸡鸣;感孟尝;放孟尝回;借晓人;漏却田文;脱函关厄;崤函关出;函谷孟尝归;函关报晓鸡;开关计;乱真鸡;齐客偷秦官
荀令香（荀彧）	满身香;荀令香;香满衣;荀衣;荀公几日香;花香逐荀
留侯	留侯
朝宗	朝宗
小阮（阮咸，阮籍）	二阮;小阮;阮咸;仲容
塞上翁（塞翁）	塞翁;失马翁;失马何忧;失马安知非福
上蔡（李斯，赵高）	上蔡黄犬;悲东门;李斯;黄犬应闻笑李斯;东门犬(狗);呼鹰上蔡头;思大东门;李斯拘秦桎
长者车（陈平）	门前长者车;车多长者;长者来寻;辙迹陈巷;穷巷回车辙;席门穷巷;老人骖驭往;曲逆车;席维门
玄圃（周穆王）	悬圃;玄圃
掷地（孙绰）	掷地;金石;金玉铿如;掷地胜如金玉
淮阳卧（汲黯）	淮阳;病太守;汲黯卧理;卧治
傅岩（傅说）	傅说版筑;相殷;傅岩;傅氏筑;筑岩
衔芦	衔芦;一枝芦
斩蛇（刘邦）	赤龙子;蛇分;大蛇中断;赤帝孙;白蛇死;汉高斩蛇;蛇母哭;赤精;大泽诛蛇;断蟒长途;汉祖白蛇
席上珍（孔子）	席上珍
流霞	流霞杯;霞浆;餐霞客;饮霞;霞酌;霞盏;一杯霞;霞环;仙杯落晚霞
坑降（白起）	坑;长平
七贵	七贵
鲁阳戈（鲁阳公）	挥戈;转日回天;驻白日;回天却日;驻景戈;剑舞转颓阳;日避挥戈勇;日轮驻霜戈;酣战挥日;麾日之戈;回日轮;鲁日回轮;鲁阳驻日
击筑（高渐离，荆轲，狗屠）	燕市悲歌;燕市击筑;荆卿歌;歌酒市;蓟门歌;渐离弦;荆歌高筑;秦廷筑;狗屠;燕酒初酣;燕
钧天（赵简子）	钧天;简子魂;广乐揍钧天;赵简闻乐
邹枚	邹枚
雕龙	雕龙
一顾（伯乐，淳于髡，苏代）	伯乐顾;一顾;牵驱入市
三车	三车;白牛
种玉（杨伯雍）	种玉田;种出蓝田;耕耘生白璧;秧白石;玉持雍伯
芸阁	芸斋;芸台;芸阁;芸香吏;香芸避蠹
河梁	河梁
班姬（班婕妤）	班女;婕妤;班姬
八龙（荀淑）	荀龙;八龙;荀家兄弟;颍川
鹊喜	乌鹊;喜逐行人至
肘后方（葛洪）	肘后
曹刘（刘桢，曹植）	曹刘
扶桑	扶桑
禹凿（夏禹）	禹凿;夏后;治水
庄椿（庄子）	八千岁;庄椿;椿龄;椿寿;春难老;漆园椿;椿岁;椿同;菌蟪;仙椿;春龄;祝椿算;椿菌年;春算;椿姿;大椿;说椿;庄木八千年;朝菌;椿树;灵椿;冥灵墓;小年;燕山训
尧蓂（尧）	蓂;历草
煮白石	煮白石;石似临邛芋;根石同煮
鲁恭（刘馀）	雉;鲁恭化;乳雉驯;童子怀仁;使车听雉乳;童子狎雏;车迎雉群
迷下蔡（宋玉）	嫣然一笑;下蔡阳城迷;东家一笑
惠连	惠连
任公	任公子;任钓;巨海钓;钓东海;犗饵;巨缗东钓;钓竿疏;钓鲸公子;五十犗为饵;一钓饱千里
金汤（蒯通）	金汤;汤池
轻车（李蔡）	李轻车
补衮（仲山甫）	补衮;衮职
巨灵	巨灵;灵掌;擘两山;运神斧;擘泰华;擘中流
草圣（张芝）	张芝;伯英草圣
鹪鹩（许由，唐尧）	鹪鹩一枝
徐福	不死药;徐福;童男丱女;五百童女;海中童丱;秦帝使;求药使;徐福竟何成;徐生迹;徐韨载;徐福不得仙
后庭花（陈叔宝）	后庭花;玉树;璧月琼枝;庭花遗曲;南朝旧曲
结网	羡鱼;结网;临川思结网
机石	支机石;取石
元凯	元凯
鸡树（刘放，孙资，曹肇）	鸡树;鸡栖
三星照户	今夕何夕;三星照户;三星曙
哭秦庭（伍员，申包胥）	包胥哭秦庭;包胥救楚;包胥血;申胥恨;复楚孤臣;申包恸哭;依墙哭楚
卢女	卢女
悬车	悬车
沃洲	沃洲
掌中舞（张净琬，赵飞燕）	掌上;飞燕轻;汉后身轻;静婉腰;掌中无力;转纤腰;飞燕掌中娇;皇后舞;汉宫舞腰;轻身舞
丹丘	羽人;丹邱;丹丘
凤毛（王劭）	凤毛;得凤;五色毛
鲁连书（田单，鲁仲连）	鲁连箭书;飞一箭;聊城;一笴;燕将书;系书;一矢解世纷;一矢聊城飞去;飞书;箭镞无书;鲁连乘舟;田单惭取聊;一发下城
德星（陈寔）	聚德星;天上德星聚;五百里内贤人聚
苏属国（苏武）	属国;苏武封薄
鹤书徵	鹤书
覆盆	戴盆;望天盆;覆盆
双成（董双成）	董双成;琅璈;侍女吹笙
剧孟	剧孟
无弦（陶潜）	陶琴无弦;靖节琴;彭泽横琴;空抚余徽;琴中得趣，弦上何劳声;渊明琴中趣;琴不
捧日	捧日
平原君	平原君
骑儿逢郭伋（郭伋）	竹马;骑儿逢郭伋;仙童驭竹;竹儿争见;童稚欢迎;骑竹欢迎;童子争迎;迎使君车;儿骑空迎;骑竹更生;有儿迎郭伋
真龙（子张，鲁哀公，沈诸梁）	叶公好龙;真龙;画龙;牖下窥龙;真龙反惊叶;郝贞隆
李陵（刘彻，李陵）	李少卿;都尉;降虏;李陵
秦封（秦始皇）	秦封大夫;封松;五株树;秦官
广陵散（嵇康）	广陵;顾索素琴
萍风（宋玉）	萍风;生萍末;风生蘋;啸起青;末
花雨	天花;曼陀雨;天雨曼陀;散花维磨室;天女相试
雍门琴（田文，雍门周）	雍门;曲池平;池台泪;池台无恙;薛公泪;薛县池平;曲池合，高台灭
王谢（王导，谢弘微）	王谢乌衣
宋玉	宋玉
仁风（袁宏）	仁风动;袁宏扇;赠扇扬风;东阳仁;偶然入手送东阳;扇似袁宏;持赠东冶亭
鹊印	鹊衔金印;怀印;石印飞
怀铅（扬雄）	怀铅;铅椠;铅简
万年枝	万年
粉署	粉署
华亭（陆云，陆机）	华亭;闻唳鹤;愁鹤唳;陆机禽;陆云家鹤;华亭日中言
廉颇	廉颇
三杰（张良，萧何，韩信）	三杰;三贤事汉;汉相人杰
何水部（何逊）	何水部;记室
何逊	何逊;仲言丽藻
建安作	建安骨
锦帐	锦帐郎
金丸（韩嫣）	韩嫣金丸;黄金作弹圆
淮南药（刘安）	淮南;淮王
熊轼	画熊;熊轩;熊轼
李膺	李膺
广成子	广成子
望夫	望夫;山头化石;矶头新妇石;化石山头妇;妾身为石
金埒（王济）	马埒编金;金埒;钱埒;永埒铺金
九转	九转丹
杏田（董奉）	杏田;董奉杏;虎卖杏;杏树;种杏
虎溪（陶潜，僧慧远）	虎溪;远公不出;三笑
九皋	九皋鹤
黄公（王戎）	黄公酒垆;黄翁;酒垆陈迹问
三黜（柳下惠）	学柳下惠;三黜;柳下贤;黜有三
公车	公车
姹女	奼女;姹女
绛帐（马融）	绛纱帐;绛幄;后堂列女乐;马公礼乐;钗钿拥马融;绛帷
系日	长绳系日
和鸣（懿氏，陈完）	陈凤;卜凤凰;凤兆;和鸣;鸣凤飞
乘桴（孔子）	乘桴;浮溟;泛浮槎;浮海;从我者谁;桴泛;海可浮
牧羊儿（黄初平）	金华牧羊;初平羊;群羊化石;羊起;叱起;乱石似羊;驱石不成羊;仙人拥石;白羊;鞭石仙人;动石;金华羽士;童子驱石;问羊初平在
折槛（张禹，朱云）	朱云请剑;断佞臣头;朱云地下游;丹槛折;直言旗;叱禹;槛独攀
触藩	羊触藩
天吴	天吴
三缄（孔子）	三缄;金人偈;垂戒鑴铭;垂
燕石	燕石十袭;燕珉;宋人宝燕石;宋人遇周客;燕巾滥宝;宋人不辨玉;缇袭三四
麋鹿姑苏（伍员，刘安）	麋鹿姑苏;苏台鹿走;吴台草;鹿登台榭;鹿豕衔枯荠;鹿游唐苑;湿楚臣衣;台荒麋迹;游鹿;姑苏蔓草;荆棘堪伤;吴苑走鹿麋;香径走麋鹿
适荆蛮（王粲）	适荆蛮;王粲;王粲不归秦;王粲滞荆州;王粲别荆蛮;适
夫子墙（子贡，孔子）	数仞墙;子贡墙;及肩墙;赐也墙;丘墙;赐墙及肩;圣门未窥
素餐	尸位素餐;尸禄
射雕手（斛律光）	射雕;落雕材
忘筌	忘筌蹄;弃筌;问旧蹄
苍梧	虞帝魂;九嶷;苍梧;九疑
貂蝉	貂蝉;珥貂;金貂
却秦（鲁仲连）	鲁连蹈海;却秦;耻帝秦;谈笑却秦军;却赏;沧海难追;海见鲁连心;一笑无秦帝;仲连逃海上;适赵解纷;终挠赵帝秦
腐鼠（庄子）	鸱鸮;腐鼠;吓飞燕;猜意鹓雏;鹓雏捐鼠;吓梁园
紫泥	紫泥
洪崖（洪崖，郭璞）	拍洪崖肩;郭景飞仙
