allusion	variation_list
双鱼	鲤鱼;寄鳞;锦鳞书;鳞鸿
盐梅（傅说，殷高宗）	调梅;傅说羹;和羹梅;和鼎;梅子荐盐;商鼎
颜子（孔子，颜回）	一瓢颜;三十二居陋巷;贤哉回也;回也贤;鲁瓢;贤哉巷;辛苦学颜回;隐居颜氏;箪食;学颜;颜回;颜生
支公（支道林）	支道林;林公;支公;支遁
绝弦（伯牙，钟子期）	高山流水;伯牙弦;弄琴牙;钟期;绝弦;子期知音;罢琴;朱弦断;弦琴肯重闻;钟殁师废琴;琴弦
甘棠（召公姬奭）	棠;棠遗善政;南山遗爱;故国裁棠;劭伯树;遗爱召伯;召伯遗泽;思
竹林期（刘伶，向秀，子咸，山涛，嵇康，王咸，王戎，阮咸，阮籍）	竹林;林下客;阮嵇;咸籍;山阳会;林中酒;七子风;中散地;林间饮酒;七人班;阮生集;结社竹林诗老;晋贤醉;晋时竹;山阳旧侣
白鸥（列子）	鸥;忘机鸥;鸥相狎;逐轻鸥;鸥浩荡;海翁机;忘情鱼鸟;海鸟作朋俦;机忘鸟不猜;鸥惊耻海滨;无机鸥不惊;黄鲁直笛弄;机息海滨;问讯白殴
麟阁（丙吉，刘德，刘洵，张安世，杜延年，梁丘贺，萧望之，苏武，赵充国，霍光，韩增，魏相）	麒麟阁;仪形当汉阁
壶中（壶公）	壶天;仙壶;壶公;玉壶;仙家碧玉壶;壶里;入壶
绣衣	绣
双凫（王乔）	飞凫;仙人履;汉殿凫;化履;令宰仙;下履凫;王令;云表飞屐
柳营（周亚夫，徐厉）	亚夫细柳营;如儿戏;汉将营;棘门灞上;棘门军;营门柳;太尉营;灞上儿战;儿战将军;汉将儿战;柳作赢;赢伴将军
平津（公孙弘，薛泽）	平津东阁;丞相阁;孙弘阁;招贤阁;冬阁;开阁伫孙弘;翘才客;叩阁
桑田（麻姑）	蓬莱水浅;沧海桑田;飞黄埃;海桑陵谷;东海生黄埃;海无三尺水;三浅蓬莱;沧波变陆;扶桑乍几尘;海底翻无水;海涛浅;鲸波浅;莱洲频度浅;蓬岛尘狂;清水起黄尘;弱水三浅清;三度扬尘;桑亩移;桑田几兴废;水为尘;沧海化黄土;飞尘赴海;洪涛成桑;陵变耕海;清浅三变;浅
蜀魄（杜宇）	啼血;蜀魄;杜鹃魂;望帝啼鹃;蜀天子;子规;魂作杜鹃;杜鹃积恨;蜀羽怨红啼断;昔帝恨;冤魂化禽
沧洲	沧洲;沧州
登龙（李膺）	李膺龙门;元礼门;御李君;无礼许登门
五湖心（范蠡，勾践）	五湖舟;少伯舟;越相舟;范生智;陶朱生;渔舟范蠡;越相功成去;越相烟波;朱公江海去
严陵（严光）	严;子陵
冯唐	冯唐老;冯颠;冯招;白首不见招;晚似冯公;浩首悲冯
蝴蝶（庄子）	梦蝶;漆园蝶;南华蝶;一枕蘧蘧;园吏梦;蘧蘧觉;南华春梦;身世蝶;栩栩花间蝶
黄金台（燕昭王，郭隗）	黄金;郭隗;燕昭台;尊隗;隗在燕;千金筑台;隗贵重;拥彗
青鸟（刘彻，西王母）	青鸟;仙家鸟;青雀;青禽;小鸟传仙语;使三
柏台	台柏;御史乌;乌府;朝夕乌;栖乌还得府;宪乌
鸳鹭	鸳鹭行;鹓鹭班;鹓鸾序;鹓行;鹓署
勒燕然（窦宪）	勒燕然石;勒功;铭非窦冠军;铭塞外勋;铭崖笔;岘樊铭;车骑
途穷（阮籍）	穷途;步兵哭;阮生恸;步兵泣路;阮公失路;哭阮
金谷（石崇）	金谷
投笔（班超）	燕颔封侯;投笔;班笔掷;班超束书;掷笔;守笔砚;定远见弃;弃笔;掷班超
嫦娥（羿，姮娥）	长生药;月中人;娥;偷药;羿妻窃药;月娥孀独;月娥孤;伴娥孤另;后羿寻
嫖姚（霍去病）	霍嫖姚;霍将军;霍骠骑;将门胜霍;献凯惭霍
东山（谢安）	东山
梅福	神仙;梅福;南昌尉;变名吴市;吴门变姓;沦一尉;梅少府;梅家鹤;梅知解绂;南昌仙籍;守市阛;吴市高人;仙伯;仙人梅;仙吏;隐吏
悲秋（宋玉，屈原）	宋玉悲;悲同楚大夫
魏阙（公子牟）	心魏阙;子牟;子牟存阙下;子牟眷魏阙
赤松（刘邦，张良，王子乔，黄初平）	松乔;赤松
习家（山简）	习家池;高阳;习氏宅
五斗米（陶潜）	折腰五斗;屈腰;辞小秩;折腰营口腹;不事小儿;低头为米;督邮束带;为米负初心;折为督邮腰;辞;心;为
远公（释慧远）	庐山远;雁门僧;惠远;远师;远公
貂裘（秦惠王，苏秦）	黄金尽;貂裘;不下机;鸣机妇;耻妻嫂;敝洛阳;尘暗旧貂裘;还家畏嫂轻;怀书十上秦;落魄苏秦;秦貂没;裘敝金尽;苏家妇;苏秦憔悴;貂裘不畏雪;行看嫂下机
洛浦（宓妃，曹植）	凌波罗袜;甄妃;洛灵;感甄;洛赋;洛媛;陈王见罗袜;盈盈微步;子建怜罗袜;步袜江妃;陈思朝洛;陈王睹丽;宓妃袜;弄波素袜;托陈王;洛渚尘步;拾翠
楚狂（孔子，楚狂）	衰凤;楚狂接舆;笑孔丘;凤兮;歌凤;楚人凤;葛凤;迷阳
邵平（召平）	邵平;东陵种瓜;东陵五色;芸瓜;邵生瓜田;卜隐青门;锄瓜士;东陵晦迹;守瓜垄;瓜荒;瓜送东陵
团扇（班婕妤）	团扇;手中扇;捐箧;裁洁素;汉主妃;齐纨怨思;身世如团扇;纨扇曲中秋;汉宫圆扇成咏;托意唯团扇
金屋（刘彻）	黄金屋
相如渴（司马相如）	相如病渴;文园多病;长卿病;司马渴;茂陵病;临邛渴;马卿带疾
鼎湖（黄帝）	鼎湖龙;乌号弓;抱遗弓;龙髯;黄帝鼎;鼎成;铸鼎;龙驾上丹霄;桥山弓箭;遗剑鼎;余剑舄
迁莺	出谷迁莺;娇莺离幽谷
骊珠	骊龙颔珠;骊宫;探珠;抱珠睡;睡骊目;采珠勿惊龙;睡中龙;偷珠;珠归龙窟;采珠;藏珠;龙眠失珠;龙醒遗珠;衔珠;遭龙伯睡
庾楼（庾亮，殷浩）	庾亮南楼;兴不浅;胡床;老子上南楼;诸君少住;今古一南楼;延参佐;庾侯席;月向元规;殷浩赋南楼;元规啸咏
南风（舜）	舜弦;虞弦;薰琴;南风;虞薰;五弦歌;熏弦;熏风;舜琴
鸣琴（宓子贱）	不下堂;宓子贱;单父鸣琴;宓子弹琴;琴堂;宓公;宓生;流水声中视公事;鲁宓;鸣弦坐;山县弹琴;堂上五弦;小邑弹琴;宓侪;易俗张琴
